'San Pedro',"{absis:-64.87000452, ordinat:-24.21962116}",55249
'Libertador General San Martin',"{absis:-64.78998356, ordinat:-23.81954222}",47559
'Chilecito',"{absis:-67.49999903, ordinat:-29.16552081}",20343
'Chamical',"{absis:-66.3166604, ordinat:-30.34958291}",8989
'Los Blancos',"{absis:-62.60003972, ordinat:-23.59960732}",1145
'Cafayate',"{absis:-65.96660425, ordinat:-26.08291828}",9478
'Cerrillos',"{absis:-65.48330042, ordinat:-24.89963133}",11498
'San Antonio de los Cobres',"{absis:-66.35001754, ordinat:-24.18293089}",4000
'Anatuya',"{absis:-62.83330713, ordinat:-28.46613198}",14133
'Frias',"{absis:-65.14998743, ordinat:-28.64958331}",13594
'Monte Quemado',"{absis:-62.86658675, ordinat:-25.79962807}",11387
'Juan Jose Castelli',"{absis:-60.61664657, ordinat:-25.9495414}",9421
'Charata',"{absis:-61.19999597, ordinat:-27.21628579}",18297
'Las Lomitas',"{absis:-60.60000676, ordinat:-24.69959186}",7683
'Mercedes',"{absis:-58.0799797, ordinat:-29.1795768}",22872
'Concordia',"{absis:-58.02998275, ordinat:-31.38957111}",132760
'Sunchales',"{absis:-61.56661442, ordinat:-30.93290648}",12655
'San Justo',"{absis:-60.58328943, ordinat:-30.78288979}",9607
'Vera',"{absis:-60.21659347, ordinat:-29.4661743}",9979
'Reconquista',"{absis:-59.65001306, ordinat:-29.13952757}",86640
'Venado Tuerto',"{absis:-61.97000065, ordinat:-33.74958209}",52079
'Esquel',"{absis:-71.31661361, ordinat:-42.90003131}",20048
'Zapala',"{absis:-70.06666406, ordinat:-38.90001707}",19152
'Olavarria',"{absis:-60.3299974, ordinat:-36.90003579}",65059
'Tandil',"{absis:-59.15004358, ordinat:-37.32001015}",84799
'Viedma',"{absis:-63.0000153, ordinat:-40.79995278}",54031
'San Luis',"{absis:-66.35001754, ordinat:-33.29999713}",308146
'Rio Cuarto',"{absis:-64.34998458, ordinat:-33.13003335}",135959
'San Salvador de Jujuy',"{absis:-65.30002995, ordinat:-24.1833443}",258739
'San Ramon de la Nueva Oran',"{absis:-64.32001225, ordinat:-23.13999713}",69461
'Goya',"{absis:-59.26998458, ordinat:-29.13999266}",71274
'Puerto San Julian',"{absis:-67.71665247, ordinat:-49.30000242}",2347
'Perito Moreno',"{absis:-70.93335535, ordinat:-46.60001219}",3766
'Rio Grande',"{absis:-67.6989952, ordinat:-53.79144552}",31095
'Ushuaia',"{absis:-68.31000126, ordinat:-54.79000324}",50483
'Sarmiento',"{absis:-69.08331323, ordinat:-45.60002155}",5185
'San Rafael',"{absis:-68.33333317, ordinat:-34.60002114}",79523
'Necochea',"{absis:-58.74999048, ordinat:-38.55998615}",70562
'Rio Colorado',"{absis:-64.08328251, ordinat:-38.96657632}",11499
'Catamarca',"{absis:-65.78000065, ordinat:-28.47000771}",162586
'La Rioja',"{absis:-66.84996118, ordinat:-29.40995034}",147130
'Santiago del Estero',"{absis:-64.26665633, ordinat:-27.78333128}",317549
'Resistencia',"{absis:-58.99002751, ordinat:-27.45999184}",368455
'Gualeguaychu',"{absis:-58.52000452, ordinat:-33.02001422}",55860
'El Calafate',"{absis:-72.30001612, ordinat:-50.33332436}",6329
'San Juan',"{absis:-68.51998845, ordinat:-31.55002643}",433892
'Rawson',"{absis:-65.09999048, ordinat:-43.3000069}",25062
'Neuquen',"{absis:-68.05999068, ordinat:-38.95003986}",213823
'Santa Rosa',"{absis:-64.29998763, ordinat:-36.6200012}",97693
'San Carlos de Bariloche',"{absis:-71.29999964, ordinat:-41.14995726}",91953
'Salta',"{absis:-65.41663782, ordinat:-24.78335936}",484646
'Tucumán',"{absis:-65.21662419, ordinat:-26.81600014}",678803
'Formosa',"{absis:-58.1828158, ordinat:-26.17283527}",202272
'Santa Fe',"{absis:-60.69000126, ordinat:-31.62387205}",393504
'Rosario',"{absis:-60.66630762, ordinat:-32.95112954}",1094784
'Puerto Deseado',"{absis:-65.89996749, ordinat:-47.75001951}",3305
'Rio Gallegos',"{absis:-69.21658675, ordinat:-51.63329669}",77183
'Comodoro Rivadavia',"{absis:-67.49999903, ordinat:-45.87003091}",123291
'Mendoza',"{absis:-68.81661117, ordinat:-32.88333006}",827815
'Bahia Blanca',"{absis:-62.2650214, ordinat:-38.74002684}",279041
'Mar del Plata',"{absis:-57.57998438, ordinat:-38.00002033}",554916
'Córdoba',"{absis:-64.18229456, ordinat:-31.39995807}",1374467
'Posadas',"{absis:-55.88510735, ordinat:-27.3578321}",334589
'Buenos Aires',"{absis:-58.39753137, ordinat:-34.60250161}",11862073
'Ashtarak',"{absis:44.3591667, ordinat:40.3016667}",18779
'Ijevan',"{absis:45.1491667, ordinat:40.8755556}",14737
'Artashat',"{absis:44.5505556, ordinat:39.9538889}",20562
'Gavarr',"{absis:45.1266667, ordinat:40.3588889}",21680
'Yeghegnadzor',"{absis:45.3333333, ordinat:39.7611111}",8200
'Gyumri',"{absis:43.84749385, ordinat:40.78943402}",140277
'Vanadzor',"{absis:44.48828162, ordinat:40.81276593}",89295
'Yerevan',"{absis:44.51355139, ordinat:40.18115074}",1097742
'Oranjestad',"{absis:-70.02899195, ordinat:12.53038373}",50887
'Central Coast',"{absis:151.3000048, ordinat:-33.42004148}",3026
'Sunshine Coast',"{absis:153.0500272, ordinat:-26.67998777}",57215
'Bourke',"{absis:145.9333333, ordinat:-30.1}",2475
'Pine Creek',"{absis:131.816698, ordinat:-13.81617348}",505
'Adelaide River',"{absis:131.0999975, ordinat:-13.2495414}",237
'McMinns Lagoon',"{absis:131.0500264, ordinat:-12.53289264}",5025
'Newcastle Waters',"{absis:133.4672432, ordinat:-17.55279295}",10
'Ravensthorpe',"{absis:120.0333345, ordinat:-33.58287392}",639
'Wagin',"{absis:117.3499841, ordinat:-33.29958372}",1037
'Roebourne',"{absis:117.1333048, ordinat:-20.7829317}",11281
'Pannawonica',"{absis:116.3250337, ordinat:-21.63657469}",686
'Tom Price',"{absis:117.7930578, ordinat:-22.69346108}",1822
'Kalbarri',"{absis:114.1666642, ordinat:-27.66618081}",1537
'Mount Magnet',"{absis:117.8166739, ordinat:-28.06620807}",424
'Morawa',"{absis:116.0000406, ordinat:-29.21626707}",259
'Port Denison',"{absis:114.9166442, ordinat:-29.28282632}",1213
